"Core","soil_type","treatment","trt","Core_assignment","Moisture","skip","texture","Moisture2","Status","moisture_lvl","perc_sat","sat_level","DryWt_g","Carbon_g","Moisture_perc"
16,"Soil","Wetting","W","Soil_sat_W","sat",,"SCL",,"Wet","140",100,"100",29.73,2.48,71.21
17,"Soil","Wetting","W","Soil_sat_W","sat",,"SCL",,"Wet","140",100,"100",29.96,2.5,71.23
18,"Soil","Wetting","W","Soil_sat_W","sat",,"SCL",,"Wet","140",100,"100",30.09,2.51,71.22
19,"Soil","Wetting","W","Soil_sat_W","sat",,"SCL",,"Wet","140",100,"100",30.11,2.51,71.21
20,"Soil","Wetting","W","Soil_sat_W","sat",,"SCL",,"Wet","140",100,"100",29.9,2.49,71.2
21,"Soil","Drying","D","Soil_sat_D","sat",,"SCL",,"Dry","140",100,"100",29.8,2.49,71.21
22,"Soil","Drying","D","Soil_sat_D","sat",,"SCL",,"Dry","140",100,"100",29.66,2.47,71.21
23,"Soil","Drying","D","Soil_sat_D","sat",,"SCL",,"Dry","140",100,"100",29.8,2.49,71.21
24,"Soil","Drying","D","Soil_sat_D","sat",,"SCL",,"Dry","140",100,"100",29.87,2.49,71.24
25,"Soil","Drying","D","Soil_sat_D","sat",,"SCL",,"Dry","140",100,"100",29.79,2.48,71.23
26,"Soil","Wetting","W","Soil_75_W","75",,"SCL",75,"Wet","75",53,"50",29.95,2.5,71.25
27,"Soil","Wetting","W","Soil_75_W","75",,"SCL",75,"Wet","75",53,"50",30.3,2.53,71.22
28,"Soil","Wetting","W","Soil_75_W","75",,"SCL",75,"Wet","75",53,"50",30.29,2.53,71.21
29,"Soil","Wetting","W","Soil_75_W","75",,"SCL",75,"Wet","75",53,"50",30.19,2.52,71.22
30,"Soil","Wetting","W","Soil_75_W","75",,"SCL",75,"Wet","75",53,"50",29.83,2.49,71.2
31,"Soil","Drying","D","Soil_75_D","75",,"SCL",75,"Dry","75",53,"50",29.85,2.49,71.22
32,"Soil","Drying","D","Soil_75_D","75",,"SCL",75,"Dry","75",53,"50",29.98,2.5,71.21
33,"Soil","Drying","D","Soil_75_D","75",,"SCL",75,"Dry","75",53,"50",29.63,2.47,71.21
34,"Soil","Drying","D","Soil_75_D","75",,"SCL",75,"Dry","75",53,"50",29.9,2.49,71.24
35,"Soil","Drying","D","Soil_75_D","75",,"SCL",75,"Dry","75",53,"50",29.72,2.48,71.23
36,"Soil","Wetting","W","Soil_dry_W","dry",,"SCL",,"Wet","5",3,"5",29.91,2.49,71.21
37,"Soil","Wetting","W","Soil_dry_W","dry",,"SCL",,"Wet","5",3,"5",29.85,2.49,71.26
38,"Soil","Wetting","W","Soil_dry_W","dry",,"SCL",,"Wet","5",3,"5",30.01,2.5,71.24
39,"Soil","Wetting","W","Soil_dry_W","dry",,"SCL",,"Wet","5",3,"5",30.22,2.52,71.24
40,"Soil","Wetting","W","Soil_dry_W","dry",,"SCL",,"Wet","5",3,"5",30.05,2.51,71.21
41,"Soil","Drying","D","Soil_dry_D","dry",,"SCL",,"Dry","5",3,"5",29.69,2.48,71.2
42,"Soil","Drying","D","Soil_dry_D","dry",,"SCL",,"Dry","5",3,"5",29.67,2.47,71.25
43,"Soil","Drying","D","Soil_dry_D","dry",,"SCL",,"Dry","5",3,"5",29.99,2.5,71.22
44,"Soil","Drying","D","Soil_dry_D","dry",,"SCL",,"Dry","5",3,"5",29.94,2.5,71.21
45,"Soil","Drying","D","Soil_dry_D","dry",,"SCL",,"Dry","5",3,"5",30.05,2.51,71.21
71,"Soil_sand","Wetting","W","Soil_sand_sat_W","sat",,"SL",,"Wet","100",100,"100",29.86,1.66,47.35
72,"Soil_sand","Wetting","W","Soil_sand_sat_W","sat",,"SL",,"Wet","100",100,"100",29.99,1.66,47.32
73,"Soil_sand","Wetting","W","Soil_sand_sat_W","sat",,"SL",,"Wet","100",100,"100",29.87,1.66,47.34
74,"Soil_sand","Wetting","W","Soil_sand_sat_W","sat",,"SL",,"Wet","100",100,"100",29.94,1.66,47.39
75,"Soil_sand","Wetting","W","Soil_sand_sat_W","sat",,"SL",,"Wet","100",100,"100",29.92,1.66,47.36
76,"Soil_sand","Drying","D","Soil_sand_sat_D","sat",,"SL",,"Dry","100",100,"100",29.84,1.66,47.39
