Core,npoc_mg_l
18,16.33
19,17.96
20,18.13
21,6.17
22,7.35
23,5.29
24,8.48
25,6.35
26,16.05
27,10.56
123,13.34
124,11
125,13.21
126,10.43
127,8.36
128,6.52
129,7.12
130,5.04
131,5.98
132,7.33
133,7.27
134,7.13
135,7.46
136,8.61
137,8.25
138,7.61
139,7.76
140,9.67
141,14.87
142,14.69
143,15.56
144,14.8
145,16.52
146,11.9
147,15.04
148,10.84
149,10.66
150,11.45
151,11.51
152,13.29
153,10.36
154,14.29
155,11.63
156,14.08
157,14.31
158,10.99
159,10.45
160,13.62
28,16.9
29,18.92
30,17.04
31,5.86
32,6.21
33,7.04
34,4.46
35,5.68
36,34.38
37,36.29
38,34.92
39,38.85
40,37.11
41,25.23
42,31.33
43,27.46
44,25.57
45,25.29
71,16.21
72,18.05
73,19.03
74,13.84
75,17.94
76,5.58
77,6.57
78,6.01
79,5.42
80,8.34
81,14.57
82,13.27
83,14.63
84,13.39
85,13.73
86,6.51
87,5.42
88,5.34
89,4.7
90,5.39
91,32.01
92,34.34
93,37.41
94,27.34
95,34.24
96,26.38
97,27.64
98,23.31
99,21.3
100,25.84
111,16.05
112,12.65
113,13.98
114,12.91
115,13.58
116,7.31
117,5.15
118,5.68
119,8.04
120,6.21
16,15.73
121,10.62
122,12.41
17,16.94
