"Core","gmoist","WSOC_weighed_g","WSOC_drywt_g","WSOC_water_g"
"131",64.5454545454545,6.8,4.13,2.67
"132",63.6986301369863,6.67,4.07,2.6
"133",66.3865546218487,6.66,4,2.66
"134",53.3333333333333,6.15,4.01,2.14
"135",65.1851851851852,6.56,3.97,2.59
"136",37.2093023255814,5.52,4.02,1.5
"137",36.9318181818182,5.86,4.28,1.58
"138",39.5939086294416,5.66,4.05,1.61
"139",35.4037267080746,4.48,3.31,1.17
"140",41.875,5.49,3.87,1.62
NA,NA,NA,NA,NA
"21",121.686746987952,8.82,3.98,4.84
"22",108.294930875576,8.25,3.96,4.29
"23",105.072463768116,8.26,4.03,4.23
"24",112.121212121212,8.47,3.99,4.48
"25",108.759124087591,8.42,4.03,4.39
"76",88.8888888888889,7.58,4.01,3.57
"77",87.1794871794872,7.51,4.01,3.5
"78",81.5476190476191,7.29,4.02,3.27
"79",97.3404255319149,7.93,4.02,3.91
"80",78.1990521327014,7.19,4.03,3.16
NA,NA,NA,NA,NA
"86",80,7.23,4.02,3.21
"87",76.1904761904761,7.08,4.02,3.06
"88",68.6440677966101,6.74,4,2.74
"89",72.3404255319149,6.45,3.74,2.71
"90",58.8235294117647,6.28,3.95,2.33
"146",86.3636363636364,7.64,4.1,3.54
"147",90.6542056074767,7.32,3.84,3.48
"148",90.2777777777778,7.7,4.05,3.65
"149",90.3225806451613,7.83,4.11,3.72
"150",94.7368421052631,7.37,3.78,3.59
"126",49.0566037735849,6.06,4.07,1.99
"127",44.2307692307692,5.88,4.08,1.8
"128",52.2388059701493,6.12,4.02,2.1
"129",48.8235294117647,5.88,3.95,1.93
"130",46.2809917355371,5.84,3.99,1.85
NA,NA,NA,NA,NA
"116",45.4545454545455,5.85,4.02,1.83
"117",35.2,5.37,3.97,1.4
"118",44.5378151260504,5.79,4.01,1.78
"119",42.7350427350427,5.73,4.01,1.72
"120",37.9310344827586,5.53,4.01,1.52
"31",71.4285714285715,6.91,4.03,2.88
"32",61.3861386138614,6.45,4,2.45
"33",71.4285714285715,6.9,4.02,2.88
"34",62.5,6.54,4.02,2.52
"35",66.3366336633663,6.63,3.99,2.64
"156",24.5762711864407,4.95,3.97,0.98
"157",27.0676691729323,5.08,4,1.08
"158",32.5581395348837,5.3,4,1.3
"159",33.3333333333333,5.33,4,1.33
"160",36.3636363636364,5.45,4,1.45
NA,NA,NA,NA,NA
"41",4.85436893203886,4.19,4,0.19
"42",4.76190476190479,4.04,3.86,0.18
"43",4.58715596330278,4.16,3.98,0.18
"44",3.93700787401577,4.14,3.98,0.16
"45",3.99999999999998,4.12,3.96,0.16
"96",2.02020202020202,4.08,4,0.0800000000000001
"97",2.58620689655175,4.11,4.01,0.100000000000001
"98",3.125,4.05,3.93,0.12
"99",2.88461538461537,4.12,4,0.12
"100",2.67857142857145,4.15,4.04,0.11
"0",0,NA,NA,NA
"36",5.08474576271183,4.11,3.91,0.2
"37",6.20155038759691,4.2,3.95,0.25
"38",5.98290598290601,4.27,4.03,0.239999999999999
"39",5.83333333333332,4.29,4.05,0.24
"40",6.56934306569345,4.24,3.98,0.26
"91",2.47933884297523,4.17,4.07,0.0999999999999996
"92",3.57142857142859,4.16,4.02,0.140000000000001
"93",3.59712230215829,4.19,4.04,0.15
"94",2.05479452054793,4.1,4.02,0.0800000000000001
"95",3.40425531914894,4.17,4.03,0.14
NA,NA,NA,NA,NA
"71",88.7096774193548,7.49,3.97,3.52
"72",105.755395683453,8.26,4.01,4.25
"73",82.2033898305084,7.3,4.01,3.29
"74",75.886524822695,7.05,4.01,3.04
"75",88.5964912280701,7.53,3.99,3.54
"16",131,9.28,4.02,5.26
"17",128.089887640449,9.06,3.97,5.09
"18",117.142857142857,8.67,3.99,4.68
"19",119.444444444444,8.73,3.98,4.75
"20",123.584905660377,8.9,3.98,4.92
NA,NA,NA,NA,NA
"111",40,7.48,5.34,2.14
"112",38.8235294117647,5.53,3.98,1.55
"113",39.1304347826087,5.61,4.03,1.58
"114",41.8604651162791,5.62,3.96,1.66
"115",42.4528301886792,5.67,3.98,1.69
"26",70.8955223880597,6.78,3.97,2.81
"27",67.3469387755102,6.75,4.03,2.72
"28",64.4736842105263,6.79,4.13,2.66
"29",60,6.43,4.02,2.41
"30",64.367816091954,6.6,4.02,2.58
"141",87.3684210526316,7.52,4.01,3.51
"142",91.7808219178082,7.63,3.98,3.65
"143",97.6470588235294,7.89,3.99,3.9
"144",92.929292929293,7.68,3.98,3.7
"145",92.9577464788732,7.71,4,3.71
NA,NA,NA,NA,NA
"81",63.1516181290612,6.6,4.05,2.55
"82",68.7074829931973,6.78,4.02,2.76
"83",75.2941176470588,6.99,3.99,3
"84",51.7241379310345,6.06,3.99,2.07
"85",56.8807339449541,6.23,3.97,2.26
"121",41.6666666666666,5.69,4.02,1.67
"122",41.4814814814815,5.61,3.97,1.64
"123",34.2857142857143,5.36,3.99,1.37
"124",39.622641509434,5.58,4,1.58
"125",41.5094339622641,5.7,4.03,1.67
"151",30.5084745762712,5.25,4.02,1.23
"152",32.3076923076923,5.29,4,1.29
"153",25.6410256410256,5.03,4,1.03
"154",25.7575757575758,5.06,4.02,1.04
"155",28.5536920706412,5.14,4,1.14
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
"QC1",NA,4.01,NA,NA
"QC2",NA,4.05,NA,NA
"QC3",NA,4.02,NA,NA
"QC4",NA,3.99,NA,NA
